Domain,Type,Sponsoring Organisation,Date
.moscow,generic,Foundation for Assistance for Internet Technologies and Infrastructure Development (FAITID),2024-02-19
.motorcycles,generic,"DERMotorcycles, LLC",2024-02-19
.mov,generic,Charleston Road Registry Inc.,2024-02-19
.movie,generic,"New Frostbite, LLC",2024-02-19
.mtn,generic,MTN Dubai Limited,2024-02-19
.mtpc,generic,Mitsubishi Tanabe Pharma Corporation,2024-02-19
.nagoya,generic,"GMO Registry, Inc.",2024-02-19
.navy,generic,United TLD Holdco Ltd.,2024-02-19
.net,generic,VeriSign Global Registry Services,2024-02-19
.network,generic,"Trixy Manor, LLC",2024-02-19
.neustar,generic,"NeuStar, Inc.",2024-02-19
.new,generic,Charleston Road Registry Inc.,2024-02-19
.news,generic,United TLD Holdco Ltd.,2024-02-19
.nexus,generic,Charleston Road Registry Inc.,2024-02-19
.ngo,generic,Public Interest Registry,2024-02-19
.nhk,generic,Japan Broadcasting Corporation (NHK),2024-02-19
.nico,generic,"DWANGO Co., Ltd.",2024-02-19
.ninja,generic,United TLD Holdco Ltd.,2024-02-19
.nissan,generic,"NISSAN MOTOR CO., LTD.",2024-02-19
.nra,generic,"NRA Holdings Company, INC.",2024-02-19
.nrw,generic,Minds + Machines GmbH,2024-02-19
.ntt,generic,NIPPON TELEGRAPH AND TELEPHONE CORPORATION,2024-02-19
.nyc,generic,The City of New York by and through the New York City Department of Information Technology & Telecommunications,2024-02-19
.okinawa,generic,BusinessRalliart inc.,2024-02-19
.one,generic,One.com A/S,2024-02-19
.ong,generic,Public Interest Registry,2024-02-19
.onl,generic,"I-REGISTRY Ltd., Niederlassung Deutschland",2024-02-19
.online,generic,DotOnline Inc.,2024-02-19
.ooo,generic,INFIBEAM INCORPORATION LIMITED,2024-02-19
.org,generic,Public Interest Registry (PIR),2024-02-19
.organic,generic,Afilias Limited,2024-02-19
.osaka,generic,"Interlink Co., Ltd.",2024-02-19
.otsuka,generic,"Otsuka Holdings Co., Ltd.",2024-02-19
.ovh,generic,OVH SAS,2024-02-19
.page,generic,Charleston Road Registry Inc.,2024-02-19
.panerai,generic,Richemont DNS Inc.,2024-02-19
.paris,generic,City of Paris,2024-02-19
.partners,generic,"Magic Glen, LLC",2024-02-19
.parts,generic,"Sea Goodbye, LLC",2024-02-19
.party,generic,Blue Sky Registry Limited,2024-02-19
.pharmacy,generic,National Association of Boards of Pharmacy,2024-02-19
.photo,generic,"Uniregistry, Corp.",2024-02-19
.photography,generic,"Sugar Glen, LLC",2024-02-19
.photos,generic,"Sea Corner, LLC",2024-02-19
.physio,generic,PhysBiz Pty Ltd,2024-02-19
.piaget,generic,Richemont DNS Inc.,2024-02-19
.pics,generic,"Uniregistry, Corp.",2024-02-19
.pictet,generic,Pictet Europe S.A.,2024-02-19
.pictures,generic,"Foggy Sky, LLC",2024-02-19
.pink,generic,Afilias Limited,2024-02-19
.pizza,generic,"Foggy Moon, LLC",2024-02-19
.place,generic,"Snow Galley, LLC",2024-02-19
.plumbing,generic,"Spring Tigers, LLC",2024-02-19
.plus,generic,"Sugar Mill, LLC",2024-02-19
.pohl,generic,Deutsche Vermögensberatung Aktiengesellschaft DVAG,2024-02-19
.poker,generic,Afilias Domains No. 5 Limited,2024-02-19
.porn,generic,ICM Registry PN LLC,2024-02-19
.praxi,generic,Praxi S.p.A.,2024-02-19
.press,generic,DotPress Inc.,2024-02-19
.prod,generic,Charleston Road Registry Inc.,2024-02-19
.productions,generic,"Magic Birch, LLC",2024-02-19
.prof,generic,Charleston Road Registry Inc.,2024-02-19
.properties,generic,"Big Pass, LLC",2024-02-19
.property,generic,"Uniregistry, Corp.",2024-02-19
.pub,generic,United TLD Holdco Ltd.,2024-02-19
.qpon,generic,"dotCOOL, Inc.",2024-02-19
.quebec,generic,PointQuébec Inc,2024-02-19
.racing,generic,Premier Registry Limited,2024-02-19
.realtor,generic,Real Estate Domains LLC,2024-02-19
.recipes,generic,"Grand Island, LLC",2024-02-19
.red,generic,Afilias Limited,2024-02-19
.redstone,generic,"Redstone Haute Couture Co., Ltd.",2024-02-19
.rehab,generic,United TLD Holdco Ltd.,2024-02-19
.reise,generic,dotreise GmbH,2024-02-19
.reisen,generic,"New Cypress, LLC",2024-02-19
.reit,generic,"National Association of Real Estate Investment Trusts, Inc.",2024-02-19
.ren,generic,"Beijing Qianxiang Wangjing Technology Development Co., Ltd.",2024-02-19
.rentals,generic,"Big Hollow,LLC",2024-02-19
.repair,generic,"Lone Sunset, LLC",2024-02-19
.report,generic,"Binky Glen, LLC",2024-02-19
.republican,generic,United TLD Holdco Ltd.,2024-02-19
.rest,generic,Punto 2012 Sociedad Anonima Promotora de Inversion de Capital Variable,2024-02-19
.restaurant,generic,"Snow Avenue, LLC",2024-02-19
.review,generic,dot Review Limited,2024-02-19
.reviews,generic,"United TLD Holdco, Ltd.",2024-02-19
.rich,generic,"I-REGISTRY Ltd., Niederlassung Deutschland",2024-02-19
.rio,generic,Empresa Municipal de Informática SA - IPLANRIO,2024-02-19
.rip,generic,United TLD Holdco Ltd.,2024-02-19
.rocks,generic,"United TLD Holdco, LTD.",2024-02-19
.rodeo,generic,Top Level Domain Holdings Limited,2024-02-19
.rsvp,generic,Charleston Road Registry Inc.,2024-02-19
.ruhr,generic,regiodot GmbH & Co. KG,2024-02-19
.ryukyu,generic,BusinessRalliart inc.,2024-02-19
.saarland,generic,dotSaarland GmbH,2024-02-19
.sale,generic,"United TLD Holdco, Ltd",2024-02-19
.samsung,generic,"SAMSUNG SDS CO., LTD",2024-02-19
.sap,generic,SAP AG,2024-02-19
.sarl,generic,"Delta Orchard, LLC",2024-02-19
.saxo,generic,Saxo Bank A/S,2024-02-19
.sca,generic,SVENSKA CELLULOSA AKTIEBOLAGET SCA (publ),2024-02-19
.scb,generic,"The Siam Commercial Bank Public Company Limited (""SCB"")",2024-02-19
.schmidt,generic,SALM S.A.S.,2024-02-19
