Domain,Type,Sponsoring Organisation,Date
.joburg,generic,ZA Central Registry NPC trading as ZA Central Registry,2024-02-22
.juegos,generic,"Uniregistry, Corp.",2024-02-22
.kaufen,generic,United TLD Holdco Ltd.,2024-02-22
.kddi,generic,KDDI CORPORATION,2024-02-22
.kim,generic,Afilias Limited,2024-02-22
.kitchen,generic,"Just Goodbye, LLC",2024-02-22
.kiwi,generic,DOT KIWI LIMITED,2024-02-22
.koeln,generic,NetCologne Gesellschaft für Telekommunikation mbH,2024-02-22
.komatsu,generic,Komatsu Ltd.,2024-02-22
.krd,generic,KRG Department of Information Technology,2024-02-22
.kred,generic,KredTLD Pty Ltd,2024-02-22
.kyoto,generic,Academic Institution: Kyoto Jyoho Gakuen,2024-02-22
.lacaixa,generic,CAIXA D'ESTALVIS I PENSIONS DE BARCELONA,2024-02-22
.land,generic,"Pine Moon, LLC",2024-02-22
.lat,generic,ECOM-LAC Federación de Latinoamérica y el Caribe para Internet y el Comercio Electrónico,2024-02-22
.latrobe,generic,La Trobe University,2024-02-22
.lawyer,generic,"United TLD Holdco, Ltd",2024-02-22
.lds,generic,"IRI Domain Management, LLC",2024-02-22
.lease,generic,"Victor Trail, LLC",2024-02-22
.leclerc,generic,A.C.D. LEC Association des Centres Distributeurs Edouard Leclerc,2024-02-22
.legal,generic,"Blue Falls, LLC",2024-02-22
.lgbt,generic,Afilias Limited,2024-02-22
.lidl,generic,Schwarz Domains und Services GmbH & Co. KG,2024-02-22
.life,generic,"Trixy Oaks, LLC",2024-02-22
.lighting,generic,"John McCook, LLC",2024-02-22
.limited,generic,"Big Fest, LLC",2024-02-22
.limo,generic,"Hidden Frostbite, LLC",2024-02-22
.link,generic,"Uniregistry, Corp.",2024-02-22
.loan,generic,dot Loan Limited,2024-02-22
.loans,generic,"June Woods, LLC",2024-02-22
.london,generic,Dot London Domains Limited,2024-02-22
.lotte,generic,"Lotte Holdings Co., Ltd.",2024-02-22
.lotto,generic,Afilias Limited,2024-02-22
.love,generic,Merchant Law Group LLP,2024-02-22
.ltda,generic,InterNetX Corp.,2024-02-22
.luxe,generic,Top Level Domain Holdings Limited,2024-02-22
.luxury,generic,Luxury Partners LLC,2024-02-22
.madrid,generic,Comunidad de Madrid,2024-02-22
.maif,generic,Mutuelle Assurance Instituteur France (MAIF),2024-02-22
.maison,generic,"Victor Frostbite, LLC",2024-02-22
.management,generic,"John Goodbye, LLC",2024-02-22
.mango,generic,PUNTO FA S.L.,2024-02-22
.market,generic,"Unitied TLD Holdco, Ltd",2024-02-22
.marketing,generic,"Fern Pass, LLC",2024-02-22
.markets,generic,DOTMARKETS REGISTRY LTD,2024-02-22
.marriott,generic,Marriott Worldwide Corporation,2024-02-22
.media,generic,"Grand Glen, LLC",2024-02-22
.meet,generic,Afilias Limited,2024-02-22
.melbourne,generic,"The Crown in right of the State of Victoria, represented by its Department of State Development, Business and Innovation",2024-02-22
.meme,generic,Charleston Road Registry Inc.,2024-02-22
.memorial,generic,"Dog Beach, LLC",2024-02-22
.menu,generic,"Wedding TLD2, LLC",2024-02-22
.miami,generic,Top Level Domain Holdings Limited,2024-02-22
.mini,generic,Bayerische Motoren Werke Aktiengesellschaft,2024-02-22
.mma,generic,MMA IARD,2024-02-22
.moda,generic,United TLD Holdco Ltd.,2024-02-22
.moe,generic,"Interlink Co., Ltd.",2024-02-22
.monash,generic,Monash University,2024-02-22
.money,generic,"Outer McCook, LLC",2024-02-22
